Site,Year,Grass_ave,Forbs_ave,Bare_ave,Litter_ave,Wood_ave,Plant_diversity,Percent_flowers,HB_Present,Monarda,Echinacea,Pycnan,Solidago,Dalea,Baptisia,Amorpha,CornSoy,OtherAg,Grassland,Forest,Shrub,DevLow,DevHigh,PC1,PC2,Forest_Dist,Ag_Dist
DIAM,2024,72.22222222,22.7037037,0.555555556,4.259259259,0.259259259,26,3.592592593,1,0,0,0,0,0,0,0,10.2614593589323,0.0765780549174051,42.3039054808008,19.089815118696,0.853298326222514,15.8297779236407,4.37588885242315,1.46801150424187,0.363896019757241,300,313.209197998047
EDWIN,2023,58.14814815,24.51851852,4.37037037,13.33333333,0,18,3.92,1,0,2.7,0,0,0,0,0,58,0.174863387978142,22.9726775956284,1.9344262295082,6.38251366120219,3.79234972677596,0.240437158469945,-1.59917682322321,-1.46803032627736,123.693168640137,361.247833251953
ENO,2023,61.11111111,25.18518519,0,13.7037037,0,23,2.81,1,0.03,0,0.74,0.19,0,0,0,77.144420131291,3.24945295404814,12.9212253829322,0.99562363238512,0.0437636761487965,4.58424507658643,0.481400437636761,-1.03613386865238,-2.39939372415703,150,60
FORK,2023,57.14814815,17.11111111,0.185185185,25.74074074,0,23,5.43,1,0,0,0,0,0,0,0,16.6593743163422,1.02822139575585,16.7906366221833,40.0021877050974,12.1527018157952,3.54408225771166,0.0765696784073507,-1.86423559197636,1.91740685349425,134.164077758789,210
FOSS,2023,37.03703704,35.74074074,1.851851852,25.37037037,0,19,5.85,1,0,0,0,0,0.03,0,0,55.5762081784387,0.994970478897879,26.3065821123989,5.41220205554341,2.12114585611196,3.67373715285371,1.02777170347693,-0.733584138933399,-1.02638254379828,218.403289794922,150
HAMIL,2023,14.07407407,71.85185185,3.333333333,10.74074074,0,25,0.78,0,0,0,0.03,0.22,0,0,0,72.5571725571726,2.34161286792866,15.3408469197943,1.88204398730715,0,4.82547324652588,1.93675456833352,-0.144617781999273,-2.24916494058664,937.22998046875,123.693168640137
JAY,2023,43.11111111,12.66666667,9.703703704,32.85185185,1.851851852,22,2.44,1,0,0,0,0,0,0,0,12.4726716222125,1.53038915609969,19.2391779623962,37.5601224311325,10.013117621338,5.59685177087888,1.31176213379974,0.352832014362894,1.17456393828714,161.554946899414,283.019439697266
JAY,2024,37.22222222,27.96296296,19.44444444,14.25925926,0.740740741,22,15.25925926,1,0.185185185,0,0,0,0.185,0,0,12.4726716222125,1.53038915609969,19.2391779623962,37.5601224311325,10.013117621338,5.59685177087888,1.31176213379974,0.352832014362894,1.17456393828714,161.554946899414,283.019439697266
KELL,2023,41.2962963,26.66666667,8.333333333,23.33333333,0,21,8.22,1,2.41,0,0,1.15,1.59,0,0,59.0615771628568,1.85934594771957,23.1980750300777,9.83265886470524,0.820299682817456,4.22180903423384,0.579678442524336,-1.15157250037429,-0.431327000290372,150,30
KENT,2023,40.74074074,41.66666667,0,17.59259259,0,23,4.7,1,0.22,0,0.56,0,0,0,0,24.6416456942773,0.90819564503775,32.7278695699748,27.3881168618011,2.46197614618667,7.65948134369187,1.35682240945399,-0.0530175972968265,0.575870724388766,134.164077758789,212.132034301758
KET,2024,27.03703704,20.92592593,5,15,28.33333333,29,0.37037037,1,0,0,0,0,0,0,0,68.5995623632385,0.295404814004376,11.3019693654267,0.240700218818381,0.142231947483589,10.2844638949672,8.65426695842451,1.41673002240426,-4.37698239376223,271.661560058594,84.8528137207031
KIRK,2023,43.14814815,35.74074074,14.25925926,6.481481481,0.555555556,19,6.44,1,0,0,2.67,0,0,0,0,38.8475836431227,2.29608572053357,33.3151104307894,6.96479335228515,9.11874043297616,3.64093592827466,0.557620817843866,-1.01618442002603,-0.447902406284214,120,254.55842590332
LADY,2023,60.37037037,21.66666667,16.11111111,1.851851852,0,20,8.18,1,0,0.19,0,0.56,0,0,0,34.0476711130549,1.10430789416138,20.9927837305926,7.66455280997157,26.0004373496611,2.95211021211459,0.295211021211459,-1.32350357707598,-0.136629389716288,120,127.27921295166
LEDGE,2023,44.62962963,36.11111111,0.185185185,17.03703704,0.185185185,24,4.67,1,0.74,0,0,0,0,0,0,28.9934354485777,0.164113785557987,16.6958424507659,42.9759299781182,0.765864332603939,6.2910284463895,0.536105032822757,-0.721940294132942,1.09040965573666,90,90
LEDGE,2024,57.22222222,39.81481481,0,2.222222222,0.555555556,31,7.148148148,1,0.925925926,0,0,2.074074074,0,0,0,28.9934354485777,0.164113785557987,16.6958424507659,42.9759299781182,0.765864332603939,6.2910284463895,0.536105032822757,-0.721940294132942,1.09040965573666,90,90
LIME,2023,42.96296296,38.88888889,0.555555556,16.85185185,0,32,5.81,0,0.22,0,1.85,1.29,0,0,0,11.232636990047,1.8374712895111,21.9184075248824,19.7200043749316,8.00612490429837,14.0435305698348,12.3373072295745,2.2430797450028,0.00973366276465348,150,180
LOST,2023,36.85185185,34.62962963,4.259259259,22.77777778,1.296296296,20,3,1,0.11,0,0,0.44,0,0,0,54.3013100436681,2.52183406113537,32.4781659388646,7.22707423580786,0.109170305676856,2.91484716157205,0.283842794759825,-1.74424931923305,-0.381525030297164,161.554946899414,120
LUEK,2023,42.40740741,33.88888889,0.185185185,22.03703704,1.481481481,22,5.85,1,0,0,0.3,0.22,0,0,0,8.24223874070835,5.41101880192392,32.4114560559685,43.0585920419764,1.04940970703979,4.70048097944906,0.677743769129864,-0.0350131656477434,1.73379096869192,108.166534423828,169.705627441406
MARI,2024,24.81481481,54.81481481,16.11111111,3.518518519,0,25,10.40740741,1,1.888888889,0,0,0.185185185,0,0,0,42.0443376651742,1.85650322157912,47.6684503658403,2.71923118925412,1.14666375450475,3.69116522878672,0.283935786829748,-1.5117860891465,-1.02668118985904,247.386337280273,94.8683319091797
MCAND,2023,34.25925926,29.62962963,1.851851852,35,0,22,5.89,0,0.03,0,0,0.19,0.19,0,0,37.6477024070022,2.96498905908096,32.9540481400438,22.3741794310722,0.218818380743982,2.92122538293217,0.514223194748359,-1.23395614126145,0.543745130258769,67.0820388793945,254.55842590332
MOORE,2023,64.37037037,24.44444444,6.111111111,4.888888889,0.185185185,23,5.96,0,0,0,0,0,0,0,0,3.89581965419129,0.284526154519589,9.33464653096958,16.5462902166776,5.06675421317575,36.5834974830379,27.2269643247975,3.94191862774898,0.0589268618860083,127.27921295166,394.58837890625
MOORE,2024,62.22222222,27.44444444,3.481481481,4.62962963,2.037037037,20,5.444444444,1,2.851851852,0,0,0,0,0,0,3.89581965419129,0.284526154519589,9.33464653096958,16.5462902166776,5.06675421317575,36.5834974830379,27.2269643247975,3.94191862774898,0.0589268618860083,127.27921295166,394.58837890625
MOUND,2023,39.07407407,31.66666667,1.111111111,27.77777778,0,22,0.56,0,0.11,0,0.33,0,0.03,0,0,1.11621799080762,0.0656598818122127,12.4534909170497,18.4394834755964,0.776975268111184,27.1831910702561,15.4738454804115,4.16026493206597,0.989087774590594,0,247.386337280273
NAHA,2023,18.22222222,47,16.85185185,17.96296296,0,26,22.89,1,0.14,0,0,0.03,0,0,0,3.43206907858782,0.174882500819762,4.89671002295333,4.40485298939775,18.2752213356651,10.2196961416548,14.6136189747513,3.52610060941949,-0.713831286551979,174.928558349609,0
NEIGH,2023,22.59259259,32.03703704,23.33333333,22.40740741,0,28,7.85,1,1.48,0.03,0,0,0,0,0,3.80411018801924,1.53038915609969,36.5763008307827,29.0336685614342,3.58548316571928,18.3537385220813,2.43769129864451,1.71752401652505,1.3572799696781,94.8683319091797,182.482879638672
NESTE,2023,55,35.55555556,1.111111111,8.333333333,0,30,10.51,1,4.93,0,0,5.19,0,0,0,48.8346646241383,6.09475872633767,30.856767698873,7.48440748440748,0.120363278258015,4.55192034139403,1.80544917387023,-0.281650738450993,-0.866233511622205,228.473190307617,152.970581054688
NESTE,2024,37.77777778,59.62962963,0,2.222222222,0.37037037,40,13.11111111,1,3.814814815,0,0,3.740740741,0,0,0,48.8346646241383,6.09475872633767,30.856767698873,7.48440748440748,0.120363278258015,4.55192034139403,1.80544917387023,-0.281650738450993,-0.866233511622205,228.473190307617,152.970581054688
NEWM,2023,24.62962963,63.33333333,0,12.03703704,0,20,17.51,1,0,0,0,0,0,0,0,76.330455687903,1.56267074636652,11.2009616435362,5.86821112446727,0.0874221396568681,4.07605726150148,0.655666047426511,-1.00184741835853,-1.05914143758723,60,30
OTTER,2024,52.77777778,20,3.148148148,18.14814815,6.296296296,37,3.037037037,1,0.111111111,0,0,0,0,0,0,36.5313250382013,1.25518445754202,26.7408862693735,2.32481990831696,2.36847849814451,3.84195590482427,0.53481772538747,-0.822693055884995,-1.30433028592211,108.166534423828,180
OTTER,2023,30.48148148,16.92592593,0.740740741,47.14814815,2.962962963,34,0.74,1,0,0,0,0,0,0,0,36.5313250382013,1.25518445754202,26.7408862693735,2.32481990831696,2.36847849814451,3.84195590482427,0.53481772538747,-0.822693055884995,-1.30433028592211,108.166534423828,180
PALM,2023,34.07407407,39.62962963,3.333333333,22.96296296,0,27,10.67,1,0.19,0,0,0,0,0,0,13.9715536105033,5.76586433260394,40.164113785558,37.308533916849,0.109409190371991,2.25382932166302,0.339168490153173,-1.08246160490262,1.61354593797887,84.8528137207031,192.093734741211
PINE,2023,78.51851852,7.962962963,0.740740741,12.40740741,0.37037037,35,0.18,1,0,0.19,0,0,0,0,0,22.3593664664118,0.546149645002731,18.00109229929,19.4647733478973,2.03167667941016,26.0731840524304,6.79410158383397,1.64087350229776,-0.238423016812339,84.8528137207031,342.052642822266
PINE,2024,77.96296296,15.37037037,0,5.555555556,0,39,0.518518519,0,0.037037037,0.18,0,0,0,0,0,22.3593664664118,0.546149645002731,18.00109229929,19.4647733478973,2.03167667941016,26.0731840524304,6.79410158383397,1.64087350229776,-0.238423016812339,84.8528137207031,342.052642822266
RIVER,2023,49.07407407,20.18518519,2.962962963,27.77777778,0,23,1.88,1,0.22,0,0,0,0,0,0,31.0744343644114,1.32254891244945,26.2979560607717,15.3022188217292,15.4115203847415,3.65067220461253,0.502787189856815,-0.971056042386809,0.31253361690091,94.8683319091797,120
ROCK,2023,48.59259259,37.92592593,4.555555556,6.296296296,2.62962963,25,2.25,0,0.03,0,0,0,0,0,0,12.9346162256724,0.710693199212771,25.8364312267658,23.5731467308113,1.5853925213208,11.2070850645091,0.568554559370216,-0.06317484489011,0.99324512585402,67.0820388793945,551.543334960938
ROCK,2024,64.44444444,16.48148148,2.037037037,0.185185185,5.925925926,34,2.111111111,1,0,0,0,0,0,0,0,12.9346162256724,0.710693199212771,25.8364312267658,23.5731467308113,1.5853925213208,11.2070850645091,0.568554559370216,-0.06317484489011,0.99324512585402,67.0820388793945,551.543334960938
RON,2024,40.37037037,38.7037037,20.92592593,0,0,26,3.814814815,1,0,0,0,0,0,0.1851,0,44.3399321885596,2.00153122607459,36.9134857267855,6.62802143716504,2.11090451711692,3.05151482008094,1.92496992234496,-0.325707838373353,-0.892704356709538,60,134.164077758789
SAC,2024,49.25925926,43.51851852,0.740740741,1.851851852,4.62962963,29,9.296296296,1,2.703703704,0,0,0,0,0,0,41.4004376367615,0.393873085339168,22.7242888402626,25.4048140043764,2.42888402625821,2.96498905908096,1.10503282275711,-0.68850574432843,0.351025957146929,0,390
SAY,2023,46.07407407,34.40740741,11.2962963,7.444444444,0.592592593,21,2.25,1,0,0,0,0,0,0,0,0.229307709106792,1.91089757588993,19.9497706922909,17.569338283468,1.36492683992138,25.2129285870277,3.95282812841232,4.07445155323107,2.19060272738267,150,624.259582519531
SAY,2024,83.51851852,13.33333333,0.37037037,2.777777778,0,23,4.62962963,1,0,0,0,0,0,0,0,0.229307709106792,1.91089757588993,19.9497706922909,17.569338283468,1.36492683992138,25.2129285870277,3.95282812841232,4.07445155323107,2.19060272738267,150,624.259582519531
SOLIT,2023,40.55555556,42.59259259,12.59259259,4.259259259,0,28,9.78,1,0.19,0,2.03,0.19,0,0,0,8.98360655737705,0.295081967213115,20.8415300546448,62.1420765027322,0.480874316939891,2.49180327868852,0.557377049180328,-0.332872628957735,2.05566287967258,30,123.693168640137
SOLIT,2024,51.2962963,37.96296296,1.111111111,8.703703704,1.111111111,41,7.037037037,1,0.111111111,0,1.2963,0.740740741,0.037,0,0,8.98360655737705,0.295081967213115,20.8415300546448,62.1420765027322,0.480874316939891,2.49180327868852,0.557377049180328,-0.332872628957735,2.05566287967258,30,123.693168640137
TED,2024,72.11111111,19.81481481,3.814814815,3.518518519,0.740740741,31,2.148148148,1,0.740740741,0,0,0,0,0,0,26.3503170785043,4.94205116991034,18.4124207303739,3.79400830964356,0.284277279685108,24.6009184342882,20.8506450907501,2.45013947158676,-1.95321099560616,67.0820388793945,67.0820388793945
THOM,2024,59.44444444,39.25925926,0,1.185185185,0,31,9.814814815,1,0,0,0,0,0,0,0,59.65716781308,1.75783382465335,18.8230156130582,13.2656403537504,0.556829348182116,5.00054591112567,0.185609782727372,-1.86331511806186,0.105904777193599,94.8683319091797,120
UNION,2023,35.7037037,34.62962963,2.444444444,15.74074074,4.074074074,22,6.51,1,0,0.37,0,0,0,0,0,52.9193089875355,0.841898097528974,19.6151322982725,11.6335009840367,1.48698884758364,5.60900940301771,0.251476055106057,-1.5460837368897,-0.0308705964988514,30,300
UNION,2024,65.51851852,23,2.037037037,9.444444444,0,22,3.296296296,1,0.185185185,0.07,0,0,0.85185,0,0,52.9193089875355,0.841898097528974,19.6151322982725,11.6335009840367,1.48698884758364,5.60900940301771,0.251476055106057,-1.5460837368897,-0.0308705964988514,30,300
WOLT,2023,2.222222222,71.66666667,4.074074074,22.03703704,0,30,18.96,1,0.11,0.62,0,0,0,0,0,7.16708611445454,3.75314585840902,15.0454097822519,30.0908195645038,2.49480249480249,2.7464711675238,0.207900207900208,-0.680480697029388,1.84392121743822,30,90
WYTH,2023,5,60.55555556,10.74074074,23.51851852,0.185185185,15,8.59,1,0,0,0,0,0,0,0,4.20765027322404,0.14207650273224,9.00546448087432,1.85792349726776,21.5300546448087,22.1857923497268,16.3497267759563,3.63879112262741,-1.55762893039325,212.132034301758,342.052642822266
WYTH,2024,1.851851852,87.03703704,5.555555556,1.851851852,0.37037037,36,30.7037037,1,0,0,0,0,0,0,0,4.20765027322404,0.14207650273224,9.00546448087432,1.85792349726776,21.5300546448087,22.1857923497268,16.3497267759563,3.63879112262741,-1.55762893039325,212.132034301758,342.052642822266
YELL,2023,64.88888889,8.037037037,20.11111111,6.814814815,0,21,1.85,0,0,0,0,0,0,0.37,0,5.64613196192144,0.536163694058431,34.9381770434402,34.412955465587,7.29839150891782,9.421162052741,0.547105810263705,0.257998308882448,1.76530895984176,150,915.860229492188
YELL,2024,66.85185185,16.11111111,9.074074074,6.851851852,1.111111111,27,2.148148148,1,0,0,0,0,0,0,0,5.64613196192144,0.536163694058431,34.9381770434402,34.412955465587,7.29839150891782,9.421162052741,0.547105810263705,0.257998308882448,1.76530895984176,150,915.860229492188
